Model,Threshold,Recall (Default),Precision (Default),F1-Score (Default),Accuracy
XGBoost,0.75,0.07597494443321884,0.46134969325153374,0.1304649548924358,0.9185080402581988
Balanced Random Forest,0.5,0.6805415235401091,0.1622194393603699,0.26198903193185796,0.691478464465148
LightGBM,0.5,0.6126490200040412,0.1792915853586423,0.27740164684354984,0.7431669999837406
CatBoost,0.75,0.25702162052939986,0.3130691607186808,0.2822902796271638,0.894834398322033
