Model,Recall (Default),Precision (Default),F1-Score (Default),Accuracy
XGBoost,0.3600727419680744,0.26060251535536705,0.30236701450750825,0.8662992049168333
Balanced Random Forest,0.6805415235401091,0.1622194393603699,0.26198903193185796,0.691478464465148
LightGBM,0.6126490200040412,0.1792915853586423,0.27740164684354984,0.7431669999837406
