iter	Logloss
0	0.6860891743
1	0.6799563371
2	0.6742449587
3	0.669355533
4	0.6642598357
5	0.6601274015
6	0.6560140878
7	0.6522999934
8	0.6491107553
9	0.6459022131
10	0.6430420046
11	0.6403252605
12	0.6376410438
13	0.6354403002
14	0.6330647181
15	0.6312813973
16	0.6293302897
17	0.6275572444
18	0.6258839247
19	0.6245922435
20	0.623113107
21	0.6219607512
22	0.620751891
23	0.619506693
24	0.6184255953
25	0.6172372157
26	0.6162355969
27	0.6153166368
28	0.6144287882
29	0.6136104401
30	0.6128073098
31	0.6120879576
32	0.611411886
33	0.6107344675
34	0.6099481537
35	0.6092705878
36	0.6087111345
37	0.6080742235
38	0.6072981884
39	0.6067374333
40	0.6062614229
41	0.6057190989
42	0.6051605735
43	0.6046830736
44	0.6041300371
45	0.6036036051
46	0.6030960134
47	0.6026703573
48	0.6023743268
49	0.6020081292
50	0.6015021552
51	0.601080209
52	0.600707701
53	0.600389728
54	0.6000113972
55	0.5996523198
56	0.5993249898
57	0.5989480449
58	0.598680997
59	0.5984294891
60	0.5981329856
61	0.5978527262
62	0.5975748315
63	0.5972369885
64	0.5969575698
65	0.5966558942
66	0.5963721174
67	0.5961557504
68	0.5958896934
69	0.5956356188
70	0.5953803705
71	0.5951754418
72	0.5948696223
73	0.5946740809
74	0.5944626522
75	0.5942442393
76	0.5940619512
77	0.5937483856
78	0.5935648447
79	0.5933467198
80	0.5931292712
81	0.5928884172
82	0.5926980702
83	0.5925202285
84	0.5923566095
85	0.5921592597
86	0.5920093053
87	0.5918562073
88	0.5917110739
89	0.5915715255
90	0.5913743799
91	0.5912466403
92	0.5911110009
93	0.5909869836
94	0.5908246325
95	0.590695949
96	0.590579359
97	0.5903951825
98	0.5902835362
99	0.5901322412
100	0.589893045
101	0.5897663398
102	0.5896360897
103	0.5894873856
104	0.5893220437
105	0.5891900988
106	0.5890147807
107	0.5888474234
108	0.5886049199
109	0.5884646415
110	0.5883458148
111	0.5882159555
112	0.5881029596
113	0.5879159909
114	0.5878099391
115	0.5876713931
116	0.5875394469
117	0.5874391181
118	0.5873088515
119	0.5872114176
120	0.5870331591
121	0.586908998
122	0.5867765549
