iter	Passed	Remaining
144	8765	51687
145	8818	51583
146	8873	51487
147	8929	51406
148	8982	51304
149	9036	51205
150	9092	51122
151	9146	51026
152	9200	50930
153	9249	50812
154	9299	50699
155	9350	50589
156	9407	50513
157	9458	50407
158	9510	50303
159	9567	50229
160	9620	50136
161	9675	50051
162	9730	49964
163	9781	49861
164	9838	49788
165	9897	49724
166	9958	49672
167	10022	49635
168	10071	49523
169	10136	49490
170	10187	49387
171	10246	49325
172	10302	49247
173	10357	49167
174	10415	49100
175	10468	49012
176	10524	48937
177	10579	48854
178	10633	48770
179	10692	48710
180	10747	48629
181	10809	48581
182	10878	48567
183	10970	48653
184	11048	48673
185	11122	48675
186	11190	48650
187	11253	48606
188	11320	48576
189	11385	48539
190	11468	48576
191	11545	48585
192	11666	48783
193	11736	48761
194	11809	48752
195	11879	48732
196	11944	48688
197	12009	48644
198	12074	48602
199	12150	48602
200	12240	48657
201	12317	48661
202	12383	48620
203	12446	48564
204	12508	48510
205	12545	48353
206	12638	48415
207	12731	48475
208	12797	48432
209	12864	48396
210	12928	48343
211	12994	48301
212	13056	48241
213	13141	48267
214	13219	48266
215	13284	48217
216	13347	48160
217	13409	48100
218	13471	48042
219	13532	47978
220	13593	47914
221	13655	47855
222	13714	47785
223	13772	47710
224	13831	47643
225	13895	47587
226	13950	47505
227	14009	47434
228	14074	47384
229	14134	47320
230	14195	47255
231	14263	47216
232	14328	47167
233	14386	47093
234	14445	47026
235	14509	46970
236	14565	46892
237	14625	46824
238	14685	46761
239	14746	46696
240	14805	46629
241	14870	46576
242	14926	46499
243	14992	46451
244	15049	46377
245	15106	46300
246	15167	46238
247	15225	46166
248	15284	46100
249	15349	46049
250	15414	45997
251	15472	45926
252	15532	45860
253	15599	45815
254	15666	45771
255	15728	45711
256	15797	45671
257	15855	45599
258	15914	45530
259	15980	45482
260	16043	45424
261	16100	45352
262	16165	45301
263	16242	45280
264	16344	45331
265	16407	45275
266	16475	45229
267	16539	45174
268	16600	45112
269	16659	45042
270	16716	44969
271	16788	44932
272	16851	44876
273	16914	44817
274	16979	44765
275	17052	44731
276	17128	44708
277	17201	44674
278	17274	44642
279	17348	44610
280	17416	44562
281	17476	44498
282	17599	44590
283	17656	44514
284	17713	44440
285	17773	44371
286	17833	44305
287	17891	44232
288	17949	44159
289	18011	44096
290	18078	44046
291	18144	43993
292	18215	43953
293	18295	43934
294	18371	43904
295	18441	43860
296	18514	43824
297	18588	43789
298	18664	43759
299	18738	43722
300	18806	43672
301	18871	43617
302	18933	43553
303	19000	43500
304	19069	43453
305	19128	43383
306	19188	43315
307	19257	43265
308	19355	43283
309	19417	43220
310	19479	43154
311	19540	43088
312	19613	43049
313	19679	42993
314	19747	42941
315	19820	42903
316	19882	42839
317	19941	42767
318	19999	42694
319	20057	42622
320	20124	42569
321	20193	42518
322	20257	42459
323	20317	42391
324	20378	42324
325	20441	42263
326	20499	42189
327	20561	42126
328	20624	42064
329	20684	41996
330	20748	41935
331	20809	41869
332	20872	41806
333	20935	41745
334	20995	41676
335	21066	41632
336	21128	41567
337	21192	41507
338	21259	41453
339	21317	41381
340	21377	41312
341	21442	41254
342	21500	41183
343	21559	41112
344	21625	41056
345	21692	41002
346	21756	40941
347	21820	40882
348	21889	40830
349	21956	40776
350	22026	40727
351	22090	40665
352	22155	40607
353	22240	40585
354	22317	40548
355	22382	40488
356	22451	40437
357	22519	40383
358	22580	40318
359	22641	40252
360	22713	40205
361	22775	40140
362	22843	40086
363	22911	40032
364	22981	39980
365	23042	39914
366	23107	39855
367	23165	39784
368	23230	39724
369	23291	39658
370	23349	39587
371	23415	39530
372	23482	39473
373	23548	39415
374	23612	39354
375	23676	39292
376	23745	39239
377	23822	39200
378	23891	39146
379	23960	39093
380	24026	39034
381	24086	38966
382	24146	38899
383	24206	38831
384	24264	38760
385	24320	38686
386	24384	38625
387	24444	38556
388	24507	38493
389	24581	38447
390	24641	38381
391	24705	38318
392	24767	38254
393	24828	38187
394	24887	38118
395	24951	38057
396	25015	37996
397	25085	37943
398	25182	37931
399	25243	37864
400	25314	37814
401	25380	37754
402	25450	37701
403	25511	37636
404	25572	37569
405	25645	37520
406	25703	37449
407	25766	37386
408	25830	37325
409	25892	37260
410	25956	37197
411	26020	37135
412	26082	37070
413	26141	37002
414	26200	36933
415	26259	36863
416	26320	36798
417	26388	36741
418	26450	36676
419	26514	36615
420	26574	36548
421	26638	36485
422	26701	36422
423	26761	36355
424	26839	36312
425	26907	36255
426	26971	36193
427	27036	36132
428	27097	36067
429	27165	36009
430	27227	35945
431	27286	35876
432	27343	35805
433	27404	35739
434	27460	35666
435	27520	35600
436	27586	35540
437	27647	35474
438	27716	35418
439	27782	35359
440	27875	35333
441	27942	35275
442	28007	35215
443	28077	35160
444	28144	35101
445	28207	35037
446	28266	34968
447	28328	34904
448	28391	34841
449	28461	34786
450	28523	34721
451	28581	34651
452	28644	34588
453	28708	34526
454	28776	34469
455	28843	34409
456	28918	34360
457	28989	34306
458	29057	34248
459	29123	34188
460	29185	34123
461	29244	34055
462	29300	33982
463	29376	33935
464	29450	33883
465	29520	33827
466	29585	33766
467	29647	33701
468	29710	33638
469	29777	33579
470	29840	33515
471	29904	33452
472	29966	33387
473	30029	33324
474	30088	33256
475	30148	33188
476	30213	33126
477	30271	33058
478	30340	33001
479	30401	32935
480	30475	32882
481	30534	32815
482	30616	32771
483	30693	32723
484	30751	32653
485	30815	32590
486	30877	32525
487	30941	32463
488	31004	32398
489	31068	32337
490	31133	32274
491	31205	32220
492	31264	32152
493	31338	32099
494	31401	32035
495	31463	31971
496	31527	31908
497	31600	31854
498	31665	31792
499	31727	31727
500	31788	31661
501	31850	31597
502	31912	31532
503	31975	31468
504	32042	31408
505	32103	31341
506	32175	31286
507	32239	31224
508	32300	31158
509	32360	31091
510	32416	31021
511	32477	30955
512	32535	30886
513	32591	30815
514	32659	30756
515	32722	30692
516	32782	30627
517	32844	30561
518	32917	30506
519	32981	30444
520	33053	30389
521	33113	30322
522	33173	30255
523	33231	30187
524	33294	30123
525	33394	30092
526	33463	30034
527	33524	29969
528	33587	29904
529	33647	29838
530	33704	29769
531	33766	29703
532	33833	29643
533	33897	29580
534	33969	29524
535	34041	29468
536	34112	29411
537	34173	29346
538	34242	29287
539	34308	29225
540	34379	29168
541	34440	29102
542	34506	29041
543	34564	28973
544	34624	28906
545	34684	28840
546	34746	28775
547	34814	28715
548	34873	28648
549	34936	28584
550	35001	28522
551	35062	28456
552	35120	28388
553	35183	28324
554	35242	28257
555	35302	28191
556	35353	28117
557	35419	28055
558	35479	27990
559	35544	27928
560	35609	27865
561	35673	27802
562	35736	27738
563	35799	27674
564	35870	27616
565	35934	27554
566	36005	27496
567	36092	27450
568	36165	27393
569	36232	27333
570	36298	27271
571	36373	27216
572	36438	27153
573	36497	27087
574	36560	27022
575	36621	26957
576	36684	26893
577	36746	26828
578	36813	26767
579	36876	26703
580	36946	26644
581	37009	26580
582	37068	26514
583	37142	26457
584	37220	26404
585	37285	26341
586	37348	26277
587	37408	26211
588	37468	26145
589	37533	26082
590	37597	26019
591	37666	25959
592	37729	25895
593	37790	25829
594	37853	25765
595	37920	25704
596	37981	25638
597	38044	25575
598	38103	25508
599	38170	25446
600	38237	25385
601	38303	25323
602	38365	25259
603	38425	25193
604	38493	25132
605	38553	25065
606	38618	25003
607	38681	24939
608	38744	24875
609	38806	24810
610	38902	24767
611	38962	24701
612	39024	24636
613	39089	24574
614	39150	24508
615	39214	24445
616	39274	24379
617	39331	24311
618	39387	24243
619	39458	24184
620	39526	24123
621	39589	24059
622	39653	23995
623	39717	23932
624	39777	23866
625	39840	23802
626	39904	23739
627	39980	23682
628	40045	23619
629	40107	23555
630	40176	23494
631	40240	23431
632	40310	23371
633	40367	23303
634	40433	23241
635	40498	23178
636	40557	23112
637	40626	23051
638	40685	22985
639	40747	22920
640	40809	22856
641	40873	22792
642	40933	22726
643	41007	22668
644	41078	22608
645	41141	22544
646	41204	22481
647	41281	22424
648	41345	22361
649	41406	22295
650	41469	22231
651	41530	22166
652	41627	22120
653	41693	22057
654	41753	21992
655	41816	21928
656	41878	21863
657	41990	21824
658	42070	21769
659	42141	21709
660	42205	21645
661	42282	21588
662	42349	21525
663	42410	21460
664	42468	21393
665	42529	21328
666	42592	21264
667	42657	21201
668	42717	21135
669	42782	21071
670	42845	21007
671	42908	20943
672	42971	20879
673	43034	20814
674	43092	20748
675	43159	20685
676	43225	20623
677	43286	20558
678	43347	20492
679	43417	20431
680	43478	20366
681	43550	20306
682	43611	20241
683	43675	20177
684	43740	20114
685	43803	20050
686	43865	19985
687	43930	19922
688	43994	19858
689	44056	19793
690	44118	19729
691	44189	19667
692	44286	19619
693	44346	19553
694	44407	19488
695	44469	19423
696	44535	19360
697	44598	19296
698	44657	19230
699	44722	19166
700	44787	19103
701	44852	19039
702	44912	18974
703	44979	18911
704	45042	18847
705	45103	18782
706	45165	18717
707	45234	18655
708	45300	18593
709	45367	18530
710	45432	18466
711	45501	18404
712	45567	18342
713	45630	18277
714	45697	18215
715	45758	18149
716	45820	18085
717	45881	18020
718	45946	17956
719	46015	17894
720	46095	17837
721	46166	17776
722	46227	17710
723	46290	17646
724	46360	17584
725	46423	17520
726	46489	17457
727	46547	17391
728	46604	17325
729	46663	17259
730	46724	17193
731	46784	17128
732	46878	17075
733	46944	17012
734	47007	16948
735	47074	16885
736	47140	16822
737	47205	16758
738	47263	16692
739	47323	16627
740	47384	16562
741	47446	16497
742	47501	16430
743	47560	16364
744	47621	16299
745	47685	16236
746	47748	16171
747	47808	16106
748	47867	16041
749	47934	15978
750	48005	15916
751	48069	15852
752	48133	15788
753	48201	15726
754	48266	15662
755	48325	15597
756	48395	15535
757	48468	15473
758	48527	15408
759	48593	15345
760	48658	15281
761	48732	15220
762	48793	15156
763	48851	15090
764	48929	15030
765	48999	14968
766	49070	14906
767	49142	14845
768	49207	14781
769	49279	14719
770	49346	14656
771	49410	14592
772	49503	14537
773	49570	14474
774	49637	14410
775	49706	14348
776	49767	14283
777	49829	14218
778	49890	14153
779	49953	14089
780	50020	14026
781	50094	13964
782	50166	13903
783	50234	13840
784	50344	13788
785	50454	13737
786	50576	13688
787	50702	13640
788	50821	13591
789	50940	13541
790	51031	13483
791	51128	13427
792	51227	13372
793	51314	13313
794	51410	13256
795	51509	13200
796	51601	13143
797	51686	13083
798	51784	13027
799	51907	12976
800	52010	12921
801	52113	12865
802	52221	12811
803	52303	12750
804	52383	12689
805	52466	12628
806	52537	12564
807	52608	12501
808	52678	12437
809	52758	12375
810	52840	12314
811	52929	12254
812	53019	12195
813	53119	12137
814	53211	12078
815	53298	12018
816	53387	11958
817	53476	11898
818	53565	11838
819	53653	11777
820	53733	11715
821	53819	11654
822	53903	11592
823	53972	11528
824	54057	11466
825	54172	11411
826	54249	11348
827	54329	11285
828	54407	11222
829	54474	11157
830	54546	11093
831	54641	11033
832	54722	10970
833	54789	10905
834	54868	10842
835	54946	10778
836	55018	10714
837	55098	10651
838	55168	10586
839	55236	10521
840	55321	10459
841	55395	10394
842	55464	10329
843	55541	10265
844	55608	10200
845	55669	10133
846	55723	10065
847	55793	10000
848	55858	9934
849	55920	9868
850	55982	9801
851	56048	9736
852	56118	9671
853	56190	9606
854	56254	9540
855	56330	9476
856	56404	9411
857	56465	9345
858	56531	9279
859	56613	9216
860	56697	9153
861	56772	9088
862	56846	9024
863	56925	8960
864	56992	8894
865	57066	8830
866	57142	8765
867	57227	8702
868	57302	8638
869	57378	8573
870	57453	8509
871	57560	8449
872	57632	8384
873	57702	8318
874	57775	8253
875	57850	8188
876	57922	8123
877	57987	8057
878	58050	7990
879	58112	7924
880	58175	7857
881	58240	7791
882	58303	7725
883	58368	7659
884	58434	7593
885	58496	7526
886	58569	7461
887	58629	7394
888	58695	7328
889	58761	7262
890	58824	7196
891	58890	7130
892	58954	7064
893	59019	6997
894	59080	6931
895	59139	6864
896	59194	6797
897	59256	6730
898	59316	6664
899	59373	6597
900	59442	6531
901	59502	6464
902	59562	6398
903	59624	6331
904	59682	6265
905	59745	6198
906	59808	6132
907	59867	6065
908	59922	5998
909	59977	5931
910	60038	5865
911	60097	5798
912	60155	5732
913	60220	5666
914	60292	5600
915	60359	5535
916	60427	5469
917	60495	5403
918	60566	5338
919	60659	5274
920	60728	5209
921	60794	5143
922	60854	5076
923	60919	5010
924	60977	4944
925	61039	4877
926	61143	4814
927	61230	4750
928	61295	4684
929	61355	4618
930	61412	4551
931	61467	4484
932	61529	4418
933	61597	4352
934	61655	4286
935	61719	4220
936	61780	4153
937	61837	4087
938	61893	4020
939	61954	3954
940	62018	3888
941	62074	3822
942	62130	3755
943	62189	3689
944	62259	3623
945	62317	3557
946	62374	3490
947	62437	3424
948	62494	3358
949	62556	3292
950	62633	3227
951	62705	3161
952	62785	3096
953	62863	3031
954	62948	2966
955	63044	2901
956	63122	2836
957	63233	2772
958	63354	2708
959	63427	2642
960	63502	2577
961	63573	2511
962	63644	2445
963	63716	2379
964	63808	2314
965	63905	2249
966	63976	2183
967	64057	2117
968	64129	2051
969	64199	1985
970	64279	1919
971	64352	1853
972	64427	1787
973	64499	1721
974	64581	1655
975	64655	1589
976	64731	1523
977	64809	1457
978	64886	1391
979	64962	1325
980	65039	1259
981	65113	1193
982	65187	1127
983	65250	1060
984	65316	994
985	65376	928
986	65438	861
987	65497	795
988	65560	729
989	65620	662
990	65685	596
991	65749	530
992	65810	463
993	65871	397
994	65937	331
995	66012	265
996	66073	198
997	66136	132
998	66196	66
999	66256	0
